latitude,longtitude,depth,temperature,time
,,4.423,19.4,1685091669031
,,4.423,19.4,1685091669167
,,4.433,19.4,1685091669200
,,4.433,19.4,1685091669224
,,4.433,19.4,1685091669243
,,4.413,19.4,1685091669307
,,4.423,19.4,1685091669377
,,4.444,19.4,1685091669447
,,4.444,19.4,1685091669517
,,4.496,19.4,1685091669587
,,4.506,19.4,1685091669657
,,4.496,19.4,1685091669727
,,4.485,19.4,1685091669797
,,4.506,19.4,1685091669867
,,4.537,19.4,1685091669937
,,4.517,19.4,1685091670007
,,4.527,19.4,1685091670077
,,4.537,19.4,1685091670147
,,4.527,19.4,1685091670217
,,4.527,19.4,1685091670287
,,4.527,19.4,1685091670357
,,4.475,19.4,1685091670427
,,4.444,19.4,1685091670497
,,4.454,19.4,1685091670567
,,4.485,19.4,1685091670637
,,4.444,19.4,1685091670708
,,4.392,19.4,1685091670777
,,4.402,19.4,1685091670847
,,4.402,19.4,1685091670988
,,4.413,19.4,1685091671057
,,4.423,19.4,1685091671127
,,4.433,19.4,1685091671197
,,4.433,19.4,1685091671267
,,4.465,19.4,1685091671337
,,4.475,19.4,1685091671407
,,4.465,19.4,1685091671477
,,4.465,19.4,1685091671547
,,4.485,19.4,1685091671618
,,4.517,19.4,1685091671690
,,4.517,19.4,1685091671757
,,4.537,19.4,1685091671827
,,4.527,19.4,1685091671897
,,4.517,19.4,1685091671968
,,4.506,19.4,1685091672037
,,4.496,19.4,1685091672107
,,4.485,19.4,1685091672177
,,4.485,19.4,1685091672247
,,4.506,19.4,1685091672317
,,4.537,19.4,1685091672387
,,4.527,19.4,1685091672457
,,4.517,19.4,1685091672531
,,4.517,19.4,1685091672597
,,4.506,19.4,1685091672667
,,4.506,19.4,1685091672737
,,4.517,19.4,1685091672807
,,4.527,19.4,1685091672878
,,4.527,19.4,1685091672947
,,4.527,19.4,1685091673017
,,4.517,19.4,1685091673087
,,4.527,19.4,1685091673157
,,4.485,19.4,1685091673227
,,4.475,19.4,1685091673301
,,4.485,19.4,1685091673370
,,4.485,19.4,1685091673437
,,4.485,19.4,1685091673507
,,4.485,19.4,1685091673577
,,4.475,19.4,1685091673647
,,4.485,19.4,1685091673717
,,4.506,19.4,1685091673788
,,4.537,19.4,1685091673928
,,4.537,19.4,1685091673998
,,4.517,19.4,1685091674067
,,4.527,19.4,1685091674138
,,4.548,19.4,1685091674207
,,4.537,19.4,1685091674277
,,4.558,19.4,1685091674347
,,4.548,19.4,1685091674417
,,4.548,19.4,1685091674487
,,4.558,19.4,1685091674557
,,4.558,19.4,1685091674627
,,4.527,19.4,1685091674697
,,4.517,19.4,1685091674767
,,4.537,19.4,1685091674837
,,4.548,19.4,1685091674908
,,4.558,19.4,1685091674977
,,4.621,19.4,1685091675047
,,4.610,19.4,1685091675117
,,4.589,19.4,1685091675187
,,4.589,19.4,1685091675336
,,4.589,19.4,1685091675372
,,4.621,19.4,1685091675523
,,4.652,19.4,1685091675562
,,4.652,19.4,1685091675588
,,4.642,19.4,1685091675709
,,4.631,19.4,1685091675745
,,4.631,19.4,1685091675768
,,4.621,19.4,1685091675893
,,4.569,19.4,1685091675929
,,4.579,19.4,1685091676078
,,4.589,19.4,1685091676117
,,4.579,19.4,1685091676117
,,4.579,19.4,1685091676263
,,4.558,19.4,1685091676299
,,4.506,19.4,1685091676451
,,4.517,19.4,1685091676492
,,4.517,19.4,1685091676630
,,4.537,19.4,1685091676669
,,4.517,19.4,1685091676694
,,4.527,19.4,1685091677000
,,4.558,19.4,1685091677066
,,4.548,19.4,1685091677158
,,4.548,19.4,1685091677186
,,4.548,19.4,1685091677343
,,4.537,19.4,1685091677384
,,4.548,19.4,1685091677385
,,4.600,19.4,1685091677528
,,4.610,19.4,1685091677564
,,4.579,19.4,1685091677715
,,4.589,19.4,1685091677757
,,4.589,19.4,1685091677901
,,4.589,19.4,1685091677937
,,4.610,19.4,1685091677937
,,4.610,19.4,1685091678088
,,4.600,19.4,1685091678121
,,4.589,19.4,1685091678146
,,4.589,19.4,1685091678289
,,4.579,19.4,1685091678289
,,4.558,19.4,1685091678462
,,4.569,19.4,1685091678462
,,4.569,19.4,1685091678525
,,4.569,19.4,1685091678644
,,4.569,19.4,1685091678680
,,4.579,19.4,1685091678704
,,4.569,19.4,1685091678831
,,4.579,19.4,1685091678867
,,4.589,19.4,1685091678897
,,4.589,19.4,1685091678967
,,4.600,19.4,1685091679037
,,4.600,19.4,1685091679107
,,4.610,19.4,1685091679177
,,4.600,19.4,1685091679247
,,4.621,19.4,1685091679317
,,4.621,19.4,1685091679387
,,4.621,19.4,1685091679457
,,4.631,19.4,1685091679527
,,4.631,19.4,1685091679597
,,4.610,19.4,1685091679667
,,4.589,19.4,1685091679737
,,4.600,19.4,1685091679807
,,4.621,19.4,1685091679877
,,4.621,19.4,1685091679947
,,4.642,19.4,1685091680017
,,4.642,19.4,1685091680087
,,4.621,19.4,1685091680157
,,4.600,19.4,1685091680227
,,4.621,19.4,1685091680297
,,4.631,19.4,1685091680367
,,4.631,19.4,1685091680438
,,4.652,19.4,1685091680507
,,4.652,19.4,1685091680577
,,4.631,19.4,1685091680647
,,4.610,19.4,1685091680717
,,4.621,19.4,1685091680787
,,4.621,19.4,1685091680927
,,4.610,19.4,1685091680998
,,4.600,19.4,1685091681067
,,4.610,19.4,1685091681137
,,4.610,19.4,1685091681208
,,4.610,19.4,1685091681285
,,4.621,19.4,1685091681347
,,4.610,19.4,1685091681419
,,4.610,19.4,1685091681487
,,4.621,19.4,1685091681557
,,4.610,19.4,1685091681627
,,4.589,19.4,1685091681697
,,4.579,19.4,1685091681767
,,4.589,19.4,1685091681837
,,4.589,19.4,1685091681907
,,4.600,19.4,1685091681977
,,4.600,19.4,1685091682047
,,4.569,19.4,1685091682117
,,4.558,19.4,1685091682187
,,4.548,19.4,1685091682258
,,4.548,19.4,1685091682328
,,4.537,19.4,1685091682397
,,4.548,19.4,1685091682467
,,4.569,19.4,1685091682538
,,4.579,19.4,1685091682607
,,4.569,19.4,1685091682679
,,4.579,19.4,1685091682748
,,4.569,19.4,1685091682817
,,4.558,19.4,1685091682887
,,4.569,19.4,1685091682957
,,4.579,19.4,1685091683027
,,4.600,19.4,1685091683097
,,4.589,19.4,1685091683167
,,4.600,19.4,1685091683237
,,4.610,19.4,1685091683377
,,4.610,19.4,1685091683447
,,4.589,19.4,1685091683517
,,4.558,19.4,1685091683587
,,4.548,19.4,1685091683657
,,4.548,19.4,1685091683728
,,4.569,19.4,1685091683797
,,4.589,19.4,1685091683867
,,4.579,19.4,1685091683937
,,4.579,19.4,1685091684007
,,4.589,19.4,1685091684077
,,4.589,19.4,1685091684147
,,4.589,19.4,1685091684217
,,4.569,19.4,1685091684288
,,4.579,19.4,1685091684358
,,4.631,19.4,1685091684427
,,4.683,19.4,1685091684497
,,4.704,19.4,1685091684567
,,4.704,19.4,1685091684637
,,4.735,19.4,1685091684708
,,4.777,19.4,1685091684847
,,4.777,19.4,1685091684917
,,4.787,19.4,1685091684987
,,4.777,19.4,1685091685200
,,4.787,19.4,1685091685342
,,4.839,19.4,1685091685392
,,4.860,19.4,1685091685502
,,4.818,19.4,1685091685532
,,4.756,19.4,1685091685687
,,4.756,19.4,1685091685728
,,4.777,19.4,1685091685873
,,4.725,19.4,1685091685911
,,4.673,19.4,1685091685936
